"Doc","H_cluster","K_cluster","LDA_topics"
"Doc01.txt","01","05","02"
"Doc02.txt","01","05","05"
"Doc03.txt","01","05","02"
"Doc04.txt","01","05","05"
"Doc05.txt","02","04","05"
"Doc06.txt","01","05","05"
"Doc07.txt","01","05","05"
"Doc08.txt","01","05","02"
"Doc09.txt","01","05","05"
"Doc10.txt","01","05","02"
"Doc11.txt","03","03","04"
"Doc12.txt","03","03","04"
"Doc13.txt","03","03","04"
"Doc14.txt","03","03","04"
"Doc15.txt","03","03","04"
"Doc16.txt","03","03","04"
"Doc17.txt","03","03","04"
"Doc18.txt","04","01","06"
"Doc19.txt","05","01","03"
"Doc20.txt","05","01","03"
"Doc21.txt","04","01","03"
"Doc22.txt","05","01","03"
"Doc23.txt","02","04","05"
"Doc24.txt","02","06","05"
"Doc25.txt","02","04","02"
"Doc26.txt","02","04","02"
"Doc27.txt","02","04","02"
"Doc28.txt","02","04","05"
"Doc29.txt","02","04","05"
"Doc30.txt","02","06","05"
"Doc31.txt","02","06","05"
"Doc32.txt","02","04","05"
"Doc33.txt","02","06","02"
"Doc34.txt","02","06","02"
"Doc35.txt","06","02","01"
"Doc36.txt","06","02","01"
"Doc37.txt","06","02","01"
"Doc38.txt","06","02","01"
"Doc39.txt","05","01","01"
"Doc40.txt","06","02","01"
"Doc41.txt","06","02","01"
"Doc42.txt","04","01","06"
